customer_id,signup_date,signup_month,plan,region,acquisition_channel,industry,seats,monthly_mrr,onboarding_completed,integrations_connected,weekly_active_days,support_tickets_90d,payment_failures_90d,csat_score,status,churn_month,churn_reason,tenure_months
CUST-0047,2025-01-21,2025-01-01,Growth,North America,Organic,Retail,5,66.87,Yes,1,4.1,4,0,8.7,Active,,,18
CUST-0048,2025-09-16,2025-09-01,Starter,Europe,Paid Search,Retail,5,21.36,Yes,0,4.8,0,1,6.3,Active,,,10
CUST-0049,2025-12-27,2025-12-01,Growth,MEA,Paid Search,FinTech,6,84.42,Yes,0,3.3,0,1,9.9,Active,,,7
CUST-0050,2025-01-24,2025-01-01,Growth,LATAM,Paid Search,B2B SaaS,5,90.19,No,4,3.0,2,0,8.7,Churned,2025-03-01,Low product usage,2
CUST-0051,2026-02-13,2026-02-01,Enterprise,APAC,Referral,Creator Tools,69,445.96,Yes,5,5.5,5,0,5.6,Active,,,5
CUST-0052,2025-04-10,2025-04-01,Business,North America,Referral,Healthcare,19,153.03,Yes,2,3.4,1,0,8.3,Active,,,15
CUST-0053,2025-05-19,2025-05-01,Starter,Europe,Organic,Healthcare,1,31.50,No,2,1.8,1,2,7.4,Active,,,14
CUST-0054,2026-02-07,2026-02-01,Enterprise,LATAM,Organic,Creator Tools,67,380.65,Yes,5,2.4,0,2,8.0,Active,,,5
CUST-0055,2026-03-20,2026-03-01,Business,APAC,Content,FinTech,17,119.72,Yes,1,4.9,1,0,6.7,Active,,,4
CUST-0056,2026-01-02,2026-01-01,Growth,APAC,Organic,Healthcare,8,77.96,Yes,1,3.0,2,1,6.5,Active,,,6
CUST-0057,2026-01-16,2026-01-01,Enterprise,North America,Referral,EdTech,70,364.52,Yes,6,6.7,0,0,8.3,Active,,,6
CUST-0058,2025-10-15,2025-10-01,Starter,APAC,Organic,Creator Tools,1,31.56,No,0,2.1,2,0,8.1,Active,,,9
CUST-0059,2025-11-15,2025-11-01,Business,North America,Paid Search,FinTech,14,139.45,Yes,6,6.7,1,0,10.0,Active,,,8
CUST-0060,2025-12-14,2025-12-01,Growth,APAC,Partner,Healthcare,8,68.04,Yes,1,2.8,3,1,8.3,Active,,,7
CUST-0061,2025-08-07,2025-08-01,Enterprise,MEA,Referral,EdTech,66,453.17,Yes,3,3.4,1,0,7.3,Active,,,11
CUST-0062,2026-01-08,2026-01-01,Starter,North America,Content,EdTech,5,32.30,Yes,0,6.4,1,1,10.0,Churned,2026-05-01,Missing integration,4
CUST-0063,2025-09-25,2025-09-01,Starter,Europe,Paid Search,FinTech,1,33.46,No,3,3.5,1,2,8.0,Churned,2025-12-01,Poor onboarding,3
CUST-0064,2025-03-20,2025-03-01,Growth,Europe,Organic,Retail,2,76.89,Yes,2,2.7,1,0,8.8,Active,,,16
CUST-0065,2025-08-08,2025-08-01,Starter,APAC,Paid Search,B2B SaaS,1,29.94,Yes,0,3.9,2,0,9.6,Active,,,11
CUST-0066,2025-03-02,2025-03-01,Growth,Europe,Organic,EdTech,6,84.55,Yes,0,5.0,0,1,9.5,Active,,,16
CUST-0067,2025-05-22,2025-05-01,Growth,LATAM,Paid Search,Retail,2,71.50,Yes,2,2.7,3,1,4.6,Active,,,14
CUST-0068,2025-12-01,2025-12-01,Starter,APAC,Organic,Healthcare,1,32.54,Yes,0,3.5,2,0,7.2,Churned,2026-04-01,Price sensitivity,4
CUST-0069,2025-10-03,2025-10-01,Business,North America,Referral,EdTech,16,134.31,Yes,2,5.7,0,0,9.4,Active,,,9
CUST-0070,2025-10-10,2025-10-01,Starter,Europe,Partner,EdTech,4,29.55,Yes,0,5.0,1,0,9.2,Active,,,9
CUST-0071,2025-12-17,2025-12-01,Growth,APAC,Paid Search,Creator Tools,1,74.70,No,2,2.6,4,0,5.5,Active,,,7
CUST-0072,2025-04-20,2025-04-01,Growth,APAC,Paid Search,Creator Tools,8,74.25,No,3,3.0,4,0,6.5,Active,,,15
CUST-0073,2025-11-17,2025-11-01,Growth,LATAM,Paid Search,B2B SaaS,6,76.32,No,1,1.6,2,0,7.7,Active,,,8
CUST-0074,2026-01-25,2026-01-01,Growth,APAC,Referral,B2B SaaS,7,84.83,Yes,0,1.6,0,0,8.7,Active,,,6
CUST-0075,2025-07-03,2025-07-01,Starter,Europe,Organic,Healthcare,3,30.07,Yes,2,2.5,0,0,8.1,Active,,,12
CUST-0076,2025-07-16,2025-07-01,Growth,MEA,Paid Search,Healthcare,5,80.34,No,0,3.0,2,0,8.6,Active,,,12
CUST-0077,2025-06-14,2025-06-01,Business,APAC,Organic,B2B SaaS,21,114.32,Yes,3,4.7,1,0,10.0,Active,,,13
CUST-0078,2026-03-10,2026-03-01,Enterprise,APAC,Paid Search,Retail,73,392.48,Yes,5,6.7,2,0,10.0,Active,,,4
CUST-0079,2025-02-22,2025-02-01,Growth,Europe,Paid Search,FinTech,9,79.66,No,0,3.2,2,0,7.3,Active,,,17
CUST-0080,2025-01-11,2025-01-01,Business,Europe,Partner,FinTech,19,174.64,Yes,0,4.1,0,0,7.3,Active,,,18
CUST-0081,2025-11-25,2025-11-01,Business,Europe,Paid Search,Healthcare,10,121.50,No,3,0.6,1,0,6.1,Active,,,8
CUST-0082,2026-01-26,2026-01-01,Growth,LATAM,Organic,Creator Tools,10,81.20,No,1,1.6,2,1,6.6,Churned,2026-04-01,Missing integration,3
CUST-0083,2025-08-12,2025-08-01,Starter,MEA,Paid Search,EdTech,1,22.18,Yes,2,5.1,1,1,8.7,Active,,,11
CUST-0084,2025-01-03,2025-01-01,Starter,North America,Organic,B2B SaaS,6,27.52,No,0,0.0,3,0,6.2,Active,,,18
CUST-0085,2026-02-20,2026-02-01,Growth,APAC,Partner,B2B SaaS,1,92.26,Yes,0,3.9,0,0,9.1,Active,,,5
CUST-0086,2025-09-01,2025-09-01,Starter,Europe,Partner,Healthcare,1,27.69,Yes,0,5.1,1,0,6.9,Active,,,10
CUST-0087,2025-07-11,2025-07-01,Business,North America,Referral,Creator Tools,24,115.85,No,2,2.6,1,0,5.2,Active,,,12
CUST-0088,2025-09-27,2025-09-01,Growth,North America,Referral,FinTech,2,86.50,Yes,2,4.3,1,0,8.6,Active,,,10
CUST-0089,2025-08-06,2025-08-01,Growth,Europe,Content,Retail,4,86.26,Yes,3,5.1,2,0,8.2,Active,,,11
CUST-0090,2025-08-23,2025-08-01,Growth,Europe,Partner,Healthcare,3,73.64,Yes,3,3.1,2,0,7.1,Active,,,11
CUST-0091,2026-03-05,2026-03-01,Business,APAC,Paid Search,FinTech,19,154.28,Yes,3,3.5,0,0,7.9,Active,,,4
CUST-0092,2025-07-11,2025-07-01,Growth,North America,Organic,B2B SaaS,4,77.78,Yes,2,1.7,0,0,7.7,Active,,,12
CUST-0093,2025-09-04,2025-09-01,Starter,North America,Organic,B2B SaaS,1,33.10,Yes,2,5.0,1,0,9.4,Active,,,10
CUST-0094,2025-11-26,2025-11-01,Starter,North America,Content,FinTech,1,29.01,Yes,0,2.2,1,0,8.0,Active,,,8
CUST-0095,2026-03-24,2026-03-01,Growth,Europe,Paid Search,Retail,6,72.04,Yes,3,4.3,1,1,7.5,Active,,,4
CUST-0096,2025-09-28,2025-09-01,Starter,North America,Organic,FinTech,3,25.87,Yes,0,3.9,1,0,7.8,Active,,,10
CUST-0097,2025-11-20,2025-11-01,Growth,Europe,Organic,Retail,12,81.11,Yes,0,1.7,2,1,5.7,Churned,2025-12-01,Payment failure,1
CUST-0098,2025-10-21,2025-10-01,Enterprise,Europe,Referral,B2B SaaS,70,353.28,Yes,5,3.8,1,0,7.5,Active,,,9
CUST-0099,2025-12-28,2025-12-01,Starter,Europe,Referral,Retail,8,26.85,Yes,0,4.3,1,0,8.5,Active,,,7
CUST-0100,2026-01-19,2026-01-01,Growth,North America,Organic,Retail,6,73.72,Yes,1,4.6,0,0,7.8,Active,,,6
CUST-0101,2025-09-27,2025-09-01,Growth,Europe,Paid Search,EdTech,3,70.75,Yes,3,3.4,1,0,9.0,Active,,,10
CUST-0102,2025-10-27,2025-10-01,Enterprise,APAC,Organic,EdTech,73,371.12,Yes,5,5.7,1,0,9.4,Active,,,9
CUST-0103,2025-12-26,2025-12-01,Growth,Europe,Partner,Retail,5,75.25,Yes,2,3.7,0,0,7.1,Active,,,7
CUST-0104,2026-01-12,2026-01-01,Starter,North America,Paid Search,Healthcare,1,25.56,No,0,1.3,0,0,9.5,Active,,,6
CUST-0105,2025-02-16,2025-02-01,Starter,APAC,Partner,Creator Tools,1,27.34,Yes,0,2.9,2,0,7.4,Churned,2025-09-01,Poor onboarding,7
CUST-0106,2025-10-22,2025-10-01,Growth,Europe,Content,Creator Tools,2,92.34,No,0,1.0,3,0,5.3,Active,,,9
CUST-0107,2025-06-10,2025-06-01,Starter,MEA,Organic,Healthcare,1,28.85,No,0,0.4,0,0,6.4,Churned,2026-01-01,Low product usage,7
CUST-0108,2025-08-09,2025-08-01,Business,North America,Referral,Healthcare,22,124.19,No,1,1.9,2,0,7.2,Active,,,11
CUST-0109,2025-03-11,2025-03-01,Growth,North America,Referral,EdTech,2,79.28,No,2,2.4,3,0,6.1,Active,,,16
CUST-0110,2025-02-19,2025-02-01,Starter,APAC,Referral,EdTech,1,28.84,No,0,2.6,4,1,7.5,Active,,,17
CUST-0111,2026-03-02,2026-03-01,Starter,Europe,Organic,Healthcare,1,29.17,Yes,2,4.0,3,0,6.6,Active,,,4
CUST-0112,2025-12-01,2025-12-01,Growth,APAC,Partner,FinTech,8,82.49,Yes,0,4.7,0,0,9.9,Active,,,7
CUST-0113,2026-03-01,2026-03-01,Starter,North America,Referral,Healthcare,7,30.26,Yes,0,3.0,1,0,7.3,Active,,,4
CUST-0114,2026-01-23,2026-01-01,Starter,LATAM,Organic,Retail,5,24.59,Yes,0,4.4,1,3,6.9,Active,,,6
CUST-0115,2025-11-07,2025-11-01,Business,APAC,Partner,EdTech,16,128.60,Yes,1,3.5,3,1,8.5,Active,,,8
CUST-0116,2025-03-07,2025-03-01,Growth,Europe,Referral,Creator Tools,7,74.01,No,3,1.7,2,0,5.3,Active,,,16
CUST-0117,2025-01-07,2025-01-01,Growth,North America,Paid Search,EdTech,4,78.86,Yes,4,5.9,1,0,9.1,Active,,,18
CUST-0118,2026-03-13,2026-03-01,Growth,LATAM,Paid Search,EdTech,9,78.87,Yes,1,2.9,0,0,8.7,Active,,,4
CUST-0119,2026-02-25,2026-02-01,Starter,North America,Partner,Retail,1,32.78,Yes,0,3.7,2,1,8.1,Active,,,5
CUST-0120,2026-02-01,2026-02-01,Starter,North America,Partner,Creator Tools,4,27.74,No,1,1.9,2,0,7.2,Active,,,5
CUST-0121,2026-03-08,2026-03-01,Business,APAC,Organic,Retail,22,156.44,Yes,3,3.8,3,0,7.4,Active,,,4
CUST-0122,2025-11-14,2025-11-01,Growth,North America,Paid Search,B2B SaaS,9,61.85,Yes,0,3.4,0,0,6.8,Active,,,8
CUST-0123,2026-02-05,2026-02-01,Business,LATAM,Partner,Creator Tools,20,143.83,Yes,3,5.2,0,1,7.0,Active,,,5
CUST-0124,2025-11-02,2025-11-01,Business,North America,Referral,B2B SaaS,16,120.38,Yes,3,4.7,2,0,8.8,Active,,,8
CUST-0125,2026-03-16,2026-03-01,Business,APAC,Partner,Creator Tools,19,147.38,No,1,1.4,1,0,7.1,Active,,,4
CUST-0126,2026-01-11,2026-01-01,Business,Europe,Paid Search,Retail,15,147.05,No,1,2.0,2,0,7.0,Churned,2026-03-01,Company downsized,2
CUST-0127,2026-01-24,2026-01-01,Growth,Europe,Organic,Healthcare,7,68.51,Yes,1,2.4,0,0,7.6,Churned,2026-05-01,Missing integration,4
CUST-0128,2025-05-15,2025-05-01,Starter,Europe,Partner,Retail,2,26.81,No,1,1.9,2,0,8.9,Active,,,14
CUST-0129,2026-01-22,2026-01-01,Growth,LATAM,Organic,EdTech,8,80.07,Yes,2,5.6,0,0,10.0,Active,,,6
CUST-0130,2025-12-28,2025-12-01,Starter,MEA,Partner,EdTech,5,23.34,Yes,0,2.2,2,0,7.7,Active,,,7
CUST-0131,2026-03-04,2026-03-01,Business,LATAM,Organic,B2B SaaS,20,159.03,No,2,2.6,4,0,5.6,Churned,2026-06-01,Price sensitivity,3
CUST-0132,2025-10-13,2025-10-01,Business,North America,Content,B2B SaaS,19,137.20,Yes,1,3.6,0,0,9.7,Active,,,9
CUST-0133,2026-01-01,2026-01-01,Growth,APAC,Paid Search,FinTech,5,63.06,Yes,3,4.1,1,0,7.9,Active,,,6
CUST-0134,2026-01-05,2026-01-01,Growth,North America,Organic,EdTech,7,73.22,No,3,1.2,2,0,5.9,Active,,,6
CUST-0135,2025-07-03,2025-07-01,Growth,APAC,Referral,EdTech,5,72.35,Yes,1,3.9,4,0,5.2,Active,,,12
CUST-0136,2025-03-06,2025-03-01,Growth,Europe,Paid Search,EdTech,6,84.96,Yes,2,5.8,1,0,8.1,Churned,2025-12-01,Missing integration,9
CUST-0137,2026-02-20,2026-02-01,Starter,North America,Content,FinTech,3,29.52,Yes,1,4.6,1,2,6.7,Active,,,5
CUST-0138,2025-03-19,2025-03-01,Starter,MEA,Organic,Retail,1,23.81,Yes,0,2.8,0,1,8.2,Active,,,16
CUST-0139,2025-09-21,2025-09-01,Starter,North America,Organic,Creator Tools,6,24.26,No,4,4.9,1,1,9.4,Active,,,10
CUST-0140,2026-01-20,2026-01-01,Growth,North America,Referral,B2B SaaS,1,65.22,Yes,1,4.4,3,0,5.7,Active,,,6
CUST-0141,2025-01-09,2025-01-01,Starter,APAC,Partner,B2B SaaS,5,27.84,Yes,0,3.6,0,0,7.5,Churned,2025-06-01,Price sensitivity,5
CUST-0142,2025-09-03,2025-09-01,Starter,APAC,Organic,Healthcare,3,27.01,No,2,2.2,2,0,7.6,Active,,,10
CUST-0143,2025-08-06,2025-08-01,Starter,APAC,Paid Search,B2B SaaS,3,31.03,No,1,3.4,2,0,6.8,Active,,,11
CUST-0144,2025-07-07,2025-07-01,Growth,North America,Referral,Retail,8,76.44,No,0,1.2,3,0,5.7,Churned,2025-12-01,Low product usage,5
CUST-0145,2025-12-17,2025-12-01,Starter,Europe,Partner,Creator Tools,1,28.15,Yes,0,1.9,3,0,6.6,Churned,2026-05-01,Low product usage,5
CUST-0146,2025-11-14,2025-11-01,Growth,Europe,Referral,Creator Tools,8,79.14,Yes,3,2.8,0,0,8.5,Active,,,8
CUST-0147,2026-01-18,2026-01-01,Growth,Europe,Organic,Retail,11,90.39,No,0,3.1,1,3,6.3,Churned,2026-06-01,Switched competitor,5
CUST-0148,2025-03-26,2025-03-01,Starter,APAC,Partner,Healthcare,1,25.92,No,2,1.6,1,1,8.3,Active,,,16
CUST-0149,2025-10-11,2025-10-01,Enterprise,North America,Partner,Retail,71,439.85,No,4,3.0,3,3,5.0,Active,,,9
CUST-0150,2025-07-08,2025-07-01,Business,APAC,Paid Search,Retail,14,147.35,Yes,3,3.8,0,1,8.8,Active,,,12
CUST-0151,2025-07-16,2025-07-01,Starter,North America,Referral,B2B SaaS,1,22.62,Yes,2,3.8,3,0,5.8,Active,,,12
CUST-0152,2025-07-19,2025-07-01,Starter,LATAM,Referral,B2B SaaS,1,26.80,No,3,4.4,3,0,8.2,Active,,,12
CUST-0153,2025-12-05,2025-12-01,Business,North America,Referral,Healthcare,15,116.92,Yes,2,4.5,1,0,8.0,Active,,,7
CUST-0154,2025-01-16,2025-01-01,Starter,Europe,Paid Search,Creator Tools,2,27.84,Yes,0,2.5,0,0,8.2,Active,,,18
CUST-0155,2025-03-12,2025-03-01,Business,North America,Referral,FinTech,14,121.50,Yes,2,3.7,1,0,7.7,Active,,,16
CUST-0156,2026-02-03,2026-02-01,Business,North America,Organic,B2B SaaS,19,133.31,Yes,3,5.5,1,0,9.9,Active,,,5
CUST-0157,2026-03-01,2026-03-01,Business,APAC,Organic,Retail,14,156.43,Yes,3,5.6,2,0,6.4,Active,,,4
CUST-0158,2026-03-12,2026-03-01,Enterprise,North America,Referral,Retail,71,417.89,Yes,4,4.4,1,3,9.8,Churned,2026-05-01,Payment failure,2
CUST-0159,2025-02-18,2025-02-01,Growth,North America,Organic,EdTech,1,79.05,Yes,2,6.0,0,1,10.0,Active,,,17
CUST-0160,2025-05-08,2025-05-01,Starter,Europe,Paid Search,Retail,2,30.62,Yes,2,3.3,0,0,8.5,Active,,,14
CUST-0161,2026-01-24,2026-01-01,Starter,Europe,Referral,Healthcare,1,23.17,No,2,4.1,1,0,8.8,Active,,,6
CUST-0162,2025-09-19,2025-09-01,Starter,North America,Referral,Retail,2,28.03,No,1,3.4,3,1,7.5,Active,,,10
CUST-0163,2026-03-02,2026-03-01,Growth,LATAM,Referral,Creator Tools,8,76.36,Yes,2,6.5,2,0,7.2,Active,,,4
CUST-0164,2026-03-03,2026-03-01,Business,LATAM,Referral,Healthcare,21,157.26,Yes,0,3.1,1,0,7.2,Active,,,4
CUST-0165,2026-03-25,2026-03-01,Starter,LATAM,Referral,FinTech,4,25.31,Yes,1,3.6,0,0,7.0,Active,,,4
CUST-0166,2025-03-17,2025-03-01,Enterprise,Europe,Content,FinTech,67,427.33,Yes,3,6.6,3,0,8.0,Active,,,16
CUST-0167,2025-09-21,2025-09-01,Business,North America,Partner,Creator Tools,19,140.23,Yes,3,5.2,3,1,7.4,Active,,,10
CUST-0168,2026-01-19,2026-01-01,Starter,North America,Paid Search,Healthcare,3,24.34,Yes,1,0.9,0,0,7.5,Churned,2026-06-01,Price sensitivity,5
CUST-0169,2025-06-27,2025-06-01,Enterprise,North America,Paid Search,Creator Tools,71,380.64,Yes,4,4.8,1,0,8.1,Active,,,13
CUST-0170,2025-11-21,2025-11-01,Starter,Europe,Content,EdTech,1,33.78,Yes,0,5.4,2,0,9.7,Active,,,8
CUST-0171,2025-02-19,2025-02-01,Growth,APAC,Paid Search,Creator Tools,1,85.98,Yes,2,4.8,0,0,10.0,Active,,,17
CUST-0172,2025-09-03,2025-09-01,Starter,North America,Organic,Retail,1,33.56,Yes,1,5.0,1,0,8.1,Active,,,10
CUST-0173,2025-09-13,2025-09-01,Starter,North America,Partner,EdTech,2,28.55,No,1,1.7,1,3,7.1,Active,,,10
CUST-0174,2026-01-24,2026-01-01,Starter,MEA,Organic,Creator Tools,1,31.98,Yes,2,5.2,0,0,9.5,Active,,,6
CUST-0175,2025-07-19,2025-07-01,Growth,Europe,Organic,Creator Tools,9,69.14,Yes,2,4.4,0,0,8.5,Active,,,12
CUST-0176,2026-03-28,2026-03-01,Business,North America,Organic,B2B SaaS,23,150.12,No,4,3.7,0,2,6.9,Active,,,4
CUST-0177,2025-07-06,2025-07-01,Growth,Europe,Partner,Creator Tools,5,80.45,Yes,3,7.0,3,0,7.5,Active,,,12
CUST-0178,2025-04-01,2025-04-01,Enterprise,MEA,Paid Search,Retail,67,318.88,Yes,4,3.0,0,0,6.2,Active,,,15
CUST-0179,2025-07-11,2025-07-01,Starter,LATAM,Organic,B2B SaaS,1,22.69,No,0,0.6,2,0,8.2,Active,,,12
CUST-0180,2026-03-14,2026-03-01,Growth,Europe,Paid Search,EdTech,7,87.71,No,3,3.3,1,0,6.2,Churned,2026-04-01,Poor onboarding,1
CUST-0181,2025-10-03,2025-10-01,Starter,MEA,Referral,B2B SaaS,5,26.23,Yes,1,3.4,2,0,7.9,Active,,,9
CUST-0182,2025-11-10,2025-11-01,Starter,North America,Partner,Creator Tools,1,28.72,Yes,0,2.5,2,0,6.5,Churned,2026-04-01,Price sensitivity,5
CUST-0183,2026-02-09,2026-02-01,Starter,Europe,Organic,Creator Tools,1,23.30,Yes,0,3.5,1,0,8.7,Active,,,5
CUST-0184,2025-08-25,2025-08-01,Growth,Europe,Referral,Retail,6,62.38,Yes,0,1.0,1,1,6.7,Active,,,11
CUST-0185,2025-10-17,2025-10-01,Business,APAC,Partner,EdTech,15,111.74,No,0,2.4,2,0,7.8,Churned,2026-02-01,Poor onboarding,4
CUST-0186,2025-07-09,2025-07-01,Growth,LATAM,Organic,B2B SaaS,3,84.24,Yes,2,3.0,1,0,6.3,Active,,,12
CUST-0187,2025-03-10,2025-03-01,Business,LATAM,Referral,Healthcare,21,152.41,Yes,1,3.8,1,0,8.6,Active,,,16
CUST-0188,2025-02-16,2025-02-01,Enterprise,LATAM,Organic,Healthcare,72,362.20,Yes,3,5.7,0,2,9.3,Active,,,17
CUST-0189,2025-06-14,2025-06-01,Growth,North America,Paid Search,Creator Tools,2,88.71,No,2,0.3,2,0,6.7,Active,,,13
CUST-0190,2025-04-27,2025-04-01,Starter,North America,Organic,EdTech,1,29.28,No,0,1.4,2,0,6.4,Churned,2025-12-01,Switched competitor,8
CUST-0191,2026-02-09,2026-02-01,Business,APAC,Organic,Creator Tools,18,124.07,Yes,4,3.5,1,0,9.0,Active,,,5
CUST-0192,2025-01-05,2025-01-01,Growth,Europe,Organic,Healthcare,2,82.27,Yes,0,4.8,1,0,9.9,Active,,,18
